Area_sqft,Property_BHK,Furnished_Status,Bathroom,Society,Price_(lacks),Status,House_floor,Building_floor,Floor_Category
576,1,Unfurnished,1,Sovereign,38.0,Ready to Move,5,12,Mid
1404,4,Furnished,3,Bhaveshwar Height,95.0,Ready to Move,5,13,Mid
1044,2,Semi-Furnished,2,Festival Apartments,85.0,Ready to Move,1,3,Mid
790,2,Unfurnished,2,Shri Sai Hills,41.0,Ready to Move,7,7,Top
587,2,Unfurnished,2,Kishor Shubhankar Heights,85.0,Ready to Move,1,7,Low
737,2,Semi-Furnished,2,Sai Miracle,65.0,Ready to Move,3,7,Mid
1080,3,Furnished,3,Bhansali Campus,90.0,Ready to Move,1,7,Low
586,2,Semi-Furnished,2,Kesar Kingdom,70.0,Ready to Move,9,13,Mid
445,1,Furnished,1,Saarrthi Souvenir,55.0,Ready to Move,12,12,Top
427,2,Unfurnished,2,Shree Ganesh Park,27.0,Ready to Move,7,7,Top
630,2,Furnished,2,Castle Royale,65.0,Ready to Move,1,5,Low
612,2,Furnished,2,Castle Royale,60.0,Ready to Move,2,3,Mid
684,2,Unfurnished,2,Kedareshwar Residency,43.0,Ready to Move,4,5,Top
474,1,Unfurnished,1,D S Srushti,32.0,Ready to Move,7,7,Top
864,3,Furnished,3,Tanish Orchid,85.0,Ready to Move,12,12,Top
626,2,Unfurnished,2,Village Residency 1,38.0,Ready to Move,2,4,Mid
626,2,Unfurnished,2,Village Residency 1,30.0,Ready to Move,4,4,Top
462,1,Unfurnished,1,Verdura,29.9,Ready to Move,2,7,Mid
462,1,Unfurnished,1,Verdura,30.0,Ready to Move,4,7,Mid
432,1,Unfurnished,1,Nirman Brookefield Willows,41.0,Ready to Move,1,3,Mid
346,1,Unfurnished,1,Nirman Brookefield Willows,34.0,Ready to Move,1,10,Low
436,1,Unfurnished,1,Silver Hills,35.0,Ready to Move,3,11,Mid
900,2,Semi-Furnished,3,Mirchandani Bellagio,87.0,Ready to Move,6,6,Top
713,2,Unfurnished,2,Orchids Lake View,36.0,Ready to Move,6,6,Top
690,2,Furnished,2,Gloria,55.0,Ready to Move,4,13,Mid
515,1,Semi-Furnished,1,Gloria,35.0,Ready to Move,4,13,Mid
690,2,Unfurnished,2,Gloria,51.0,Ready to Move,8,13,Mid
690,2,Unfurnished,2,Gloria,50.0,Ready to Move,10,13,Top
504,1,Semi-Furnished,1,Kesar Valley,34.0,Ready to Move,2,10,Low
1008,3,Unfurnished,3,Vaarahi,130.0,Ready to Move,10,12,Top
1152,3,Semi-Furnished,3,Vaarahi,120.0,Ready to Move,10,12,Top
673,2,Furnished,2,Sonigara Blue Dice,56.0,Ready to Move,2,11,Low
1012,3,Unfurnished,2,Sai Darshan,60.0,Ready to Move,2,4,Mid
432,1,Semi-Furnished,1,Mega Polis Splendour and Sparklet Smart Homes,42.0,Ready to Move,4,17,Low
745,2,Furnished,2,Shri Sai 7th Heaven,70.0,Ready to Move,5,11,Mid
702,2,Unfurnished,2,Shri Sai 7th Heaven,62.0,Ready to Move,1,11,Low
394,1,Semi-Furnished,1,Shree Om Apartment,28.5,Ready to Move,2,3,Mid
406,1,Semi-Furnished,1,Pratham Yash Residency,30.0,Ready to Move,6,8,Top
