Area,Property,Furnished Status,Bathroom,Society,Price,Floor,Status
558,1 BHK,Unfurnished,Bathroom 1,Palm Atlantis,35 Lac,2 out of 11,Ready to Move
558,1 BHK,Unfurnished,Bathroom 1,Palm Atlantis,33 Lac,1 out of 13,Ready to Move
471,1 BHK,Unfurnished,Bathroom 1,Ira,39 Lac,3 out of 12,Ready to Move
701,2 BHK,Semi-Furnished,Bathroom 2,Ira,52.1 Lac,4 out of 12,Ready to Move
684,2 BHK,Unfurnished,Bathroom 2,Ira,50 Lac,1 out of 12,Ready to Move
770,2 BHK,Unfurnished,Bathroom 2,Ira,60 Lac,4 out of 10,Ready to Move
270,1 BHK,Semi-Furnished,Bathroom 1,Apla Ghar Ranjangaon,19 Lac,7 out of 8,Ready to Move
381,2 BHK,Unfurnished,Bathroom 2,Aapla Ghar Sanaswadi,25 Lac,4 out of 6,Ready to Move
576,2 BHK,Semi-Furnished,Bathroom 1,Aapla Ghar Sanaswadi,28 Lac,2 out of 2,Ready to Move
514,2 BHK,Unfurnished,Bathroom 1,Aapla Ghar Sanaswadi,17 Lac,3 out of 4,Ready to Move
423,1 BHK,Unfurnished,Bathroom 2,Mountscape,29.5 Lac,5 out of 10,Ready to Move
864,2 BHK,Furnished,Bathroom 2,Palm One,90 Lac,1 out of 10,Ready to Move
497,1 BHK,Unfurnished,Bathroom 2,PRA The Lake District,25.5 Lac,9 out of 12,Ready to Move
756,2 BHK,Unfurnished,Bathroom 2,PRA The Lake District,45 Lac,6 out of 12,Ready to Move
1138,3 BHK,Unfurnished,Bathroom 4,PRA The Lake District,70 Lac,3 out of 11,Ready to Move
1138,3 BHK,Unfurnished,Bathroom 4,PRA The Lake District,70 Lac,3 out of 11,Ready to Move
698,2 BHK,Furnished,Bathroom 2,Royal Orchid,72 Lac,7 out of 12,Ready to Move
625,2 BHK,Semi-Furnished,Bathroom 2,Royal Orchid,72 Lac,12 out of 12,Ready to Move
740,2 BHK,Unfurnished,Bathroom 2,SSK Ambrosia,55 Lac,2 out of 11,Ready to Move
778,2 BHK,Furnished,Bathroom 2,Pristine Pro Life,95 Lac,11 out of 12,Ready to Move
612,2 BHK,Semi-Furnished,Bathroom 2,Balaji Residency,42 Lac,2 out of 5,Ready to Move
756,2 BHK,Semi-Furnished,Bathroom 2,Belleza,87 Lac,9 out of 11,Ready to Move
922,3 BHK,Furnished,Bathroom 3,Kushal Nivriti,85 Lac,4 out of 11,Ready to Move
778,3 BHK,Unfurnished,Bathroom 3,Kushal Nivriti,82 Lac,10 out of 11,Ready to Move
922,3 BHK,Unfurnished,Bathroom 3,Kushal Nivriti,85 Lac,9 out of 11,Ready to Move
664,2 BHK,Furnished,Bathroom 2,Kushal Nivriti,65 Lac,8 out of 11,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Kwality World Vrindavan Heights,17 Lac,1 out of 5,Ready to Move
756,2 BHK,Furnished,Bathroom 2,West Wind Park,70 Lac,3 out of 11,Ready to Move
518,1 BHK,Unfurnished,Bathroom 2,Vishwavihar,42 Lac,9 out of 12,Ready to Move
263,1 BHK,Unfurnished,Bathroom 1,Laxmi Heights,14 Lac,3 out of 5,Ready to Move
612,2 BHK,Semi-Furnished,Bathroom 2,Shree Sai Swapna Nagari,27 Lac,2 out of 4,Ready to Move
612,2 BHK,Unfurnished,Bathroom 2,Shree Sai Swapna Nagari,27 Lac,5 out of 7,Ready to Move
353,1 BHK,Furnished,Bathroom 1,Bella Casa,60 Lac,7 out of 12,Ready to Move
482,1 BHK,Unfurnished,Bathroom 2,Silver Woods,32 Lac,6 out of 12,Ready to Move
790,2 BHK,Semi-Furnished,Bathroom 2,Shri Sai Hills,42 Lac,3 out of 9,Ready to Move
635,2 BHK,Furnished,Bathroom 2,Lake Shire,52 Lac,5 out of 13,Ready to Move
